Make,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Drivetrain,Seating Capacity,Fuel Tank Capacity,Volume,Power_bhp,Power_rpm,Torque_Nm,Torque_rpm
Maruti Suzuki,425000,2017,41624,Petrol,Automatic,Pune,White,Second,Individual,FWD,5.0,35.0,9222720.0,67.0,6000.0,90.0,3500.0
Hyundai,459999,2016,82844,Diesel,Manual,Hyderabad,Grey,First,Individual,FWD,5.0,43.0,9499848.0,74.0,4000.0,190.0,1750.0
Renault,789000,2017,60444,Petrol,Manual,Bangalore,Red,First,Individual,FWD,5.0,50.0,13325971.35,105.0,5600.0,142.0,4000.0
BMW,5100000,2022,6000,Petrol,Automatic,Raipur,White,First,Individual,RWD,5.0,57.0,11989828.727,248.0,5200.0,350.0,1450.0
Mahindra,775000,2014,125000,Diesel,Manual,Lucknow,White,First,Individual,RWD,8.0,60.0,16179290.4,120.0,4000.0,280.0,1800.0
Hyundai,1400000,2019,13000,Petrol,Automatic,Mumbai,White,First,Individual,FWD,5.0,60.0,12388978.0,122.0,6400.0,154.0,4850.0
Maruti Suzuki,770000,2015,112000,Diesel,Manual,Chennai,Gold,First,Individual,FWD,7.0,45.0,12181159.875,89.0,4000.0,200.0,1750.0
Hyundai,450000,2016,53300,Petrol,Manual,Pune,Maroon,First,Individual,FWD,5.0,43.0,9499848.0,81.0,6000.0,114.0,4000.0
Honda,840000,2019,34000,Petrol,Manual,Delhi,White,First,Individual,FWD,5.0,40.0,11251071.0,117.0,6600.0,145.0,4600.0
Mercedes-Benz,18500000,2021,21000,Petrol,Automatic,Gurgaon,Black,First,Individual,RWD,4.0,70.0,15537762.324,463.0,5250.0,700.0,2000.0
Land Rover,4000000,2017,25500,Diesel,Automatic,Pune,White,Second,Individual,AWD,5.0,57.0,15112632.0,177.0,4000.0,430.0,1750.0
Mahindra,690000,2015,157662,Diesel,Manual,Jaipur,Silver,Second,Individual,FWD,7.0,70.0,15468185.25,138.0,3750.0,320.0,1600.0
Mercedes-Benz,2800000,2018,20000,Diesel,Automatic,Mumbai,Red,First,Individual,FWD,5.0,56.0,11781794.32,136.0,3200.0,300.0,1400.0
Hyundai,525000,2018,78900,Diesel,Manual,Vadodara,Silver,First,Individual,FWD,5.0,43.0,10080184.0,71.0,4000.0,160.0,1500.0
Mercedes-Benz,7780000,2022,11000,Diesel,Automatic,Delhi,Black,First,Individual,RWD,5.0,80.0,14069266.92,192.0,3800.0,400.0,1600.0
Tata,1200000,2017,95785,Diesel,Automatic,Hyderabad,Blue,First,Individual,RWD,7.0,60.0,16318811.124,154.0,4000.0,400.0,1700.0
Ford,620000,2017,92000,Diesel,Manual,Agra,Brown,First,Individual,FWD,5.0,52.0,11622006.09,99.0,3750.0,205.0,1750.0
Jaguar,5200000,2019,43000,Diesel,Automatic,Delhi,Black,First,Individual,AWD,5.0,82.0,16176334.551,177.0,4000.0,430.0,1750.0
Mercedes-Benz,1998999,2017,39328,Diesel,Automatic,Kolkata,Silver,First,Individual,FWD,5.0,56.0,11781794.32,134.0,3600.0,300.0,1600.0
Toyota,2725000,2020,18625,Diesel,Automatic,Mumbai,Bronze,First,Individual,RWD,7.0,55.0,15553764.75,148.0,3400.0,360.0,1400.0
Maruti Suzuki,590000,2019,26000,Petrol,Manual,Lucknow,Blue,First,Individual,FWD,5.0,42.0,9984397.5,83.0,6000.0,115.0,4000.0
Maruti Suzuki,685000,2018,92000,Diesel,Automatic,Ludhiana,White,First,Individual,FWD,5.0,37.0,10500957.375,74.0,4000.0,190.0,2000.0
Mahindra,1121000,2019,38000,Diesel,Manual,Patna,White,First,Individual,RWD,7.0,60.0,15652145.6,75.0,3200.0,200.0,1400.0
Maruti Suzuki,545000,2019,10340,Petrol,Manual,Delhi,White,First,Individual,FWD,5.0,35.0,9146858.5,67.0,6200.0,90.0,3500.0
Audi,1350000,2015,47706,Diesel,Automatic,Ranchi,Black,First,Individual,AWD,5.0,64.0,12910527.48,174.0,4200.0,380.0,1750.0
Maruti Suzuki,1299000,2021,13400,Petrol,Manual,Mysore,White,First,Individual,FWD,6.0,45.0,13412787.5,103.0,6000.0,138.0,4400.0
Ford,450000,2016,44613,Diesel,Manual,Ranchi,Silver,First,Individual,FWD,5.0,40.0,10326575.625,99.0,3750.0,215.0,1750.0
Porsche,9000000,2017,7000,Petrol,Automatic,Faridabad,Red,First,Individual,RWD,2.0,54.0,10213119.805,295.0,6500.0,380.0,1950.0
Maruti Suzuki,550000,2019,29000,Petrol,Manual,Kolkata,Grey,First,Individual,FWD,5.0,42.0,9984397.5,83.0,6000.0,115.0,4000.0
BMW,4390000,2020,23000,Diesel,Automatic,Mumbai,White,First,Corporate,RWD,5.0,57.0,11989828.727,188.0,4000.0,400.0,1750.0
Maruti Suzuki,445000,2015,67580,CNG,Manual,Pune,White,First,Individual,FWD,5.0,35.0,9146858.5,58.0,6200.0,77.0,3500.0
Hyundai,495000,2015,42000,Petrol,Manual,Kolkata,Red,First,Individual,FWD,5.0,43.0,10970312.5,121.0,6300.0,155.0,4200.0
Hyundai,360000,2015,16205,Petrol,Manual,Pune,White,First,Individual,FWD,5.0,32.0,8226857.5,68.0,6200.0,94.0,3500.0
Hyundai,565000,2016,29000,Petrol,Automatic,Mumbai,Silver,First,Individual,FWD,5.0,43.0,9499848.0,79.0,6000.0,112.0,4000.0
Mercedes-Benz,9390000,2022,14000,Diesel,Automatic,Delhi,White,First,Individual,AWD,5.0,93.0,18820532.496,241.0,4200.0,500.0,1600.0
Mahindra,615000,2017,69000,Diesel,Automatic,Delhi,Black,First,Individual,RWD,7.0,60.0,13481387.175,100.0,3750.0,240.0,1600.0
Honda,525000,2015,114635,Diesel,Manual,Kolkata,Grey,First,Individual,FWD,5.0,40.0,11251071.0,99.0,3600.0,200.0,1750.0
BMW,2650000,2018,50000,Diesel,Automatic,Delhi,Blue,Second,Individual,RWD,5.0,63.0,14065642.92,184.0,4000.0,350.0,1750.0
BMW,3785000,2019,29221,Diesel,Automatic,Bangalore,Blue,First,Individual,RWD,5.0,63.0,14065642.92,184.0,4000.0,350.0,1750.0
Audi,1175000,2012,77000,Diesel,Automatic,Mumbai,Blue,Second,Individual,FWD,5.0,65.0,13401583.05,177.0,3750.0,380.0,1750.0
Mercedes-Benz,6400000,2022,5500,Diesel,Automatic,Hyderabad,White,UnRegistered Car,Individual,AWD,5.0,66.0,14473151.28,192.0,3800.0,400.0,1600.0
BMW,1450000,2013,70000,Diesel,Automatic,Mumbai,Blue,Second,Individual,RWD,5.0,60.0,13420230.576,184.0,4000.0,380.0,1750.0
Honda,1390000,2022,32000,Petrol,Automatic,Delhi,Brown,First,Individual,FWD,5.0,40.0,11840009.828,119.0,6600.0,145.0,4300.0
Ferrari,35000000,2018,9500,Petrol,Automatic,Delhi,Black,First,Individual,RWD,2.0,78.0,10816000.768,660.0,8000.0,760.0,3000.0
Volkswagen,2990000,2020,17904,Diesel,Automatic,Mumbai,White,First,Individual,AWD,5.0,71.0,13793588.688,141.0,4000.0,340.0,1750.0
Land Rover,2150000,2012,95000,Diesel,Automatic,Coimbatore,White,First,Individual,AWD,5.0,57.0,15095301.0,190.0,3500.0,420.0,1750.0
Mercedes-Benz,8500000,2018,25275,Petrol,Automatic,Hyderabad,Black,First,Individual,AWD,5.0,93.0,16840480.887,362.0,5500.0,520.0,2000.0
Maruti Suzuki,400000,2016,67850,CNG,Manual,Mumbai,Red,First,Individual,FWD,5.0,35.0,9146858.5,58.0,6200.0,77.0,3500.0
Maruti Suzuki,610000,2017,105000,Diesel,Manual,Pune,Silver,First,Corporate,FWD,5.0,42.0,9984397.5,74.0,4000.0,190.0,2000.0
Hyundai,1075000,2019,45000,Petrol,Automatic,Raipur,White,First,Individual,FWD,5.0,55.0,12654999.0,122.0,6400.0,151.0,4850.0
Mercedes-Benz,7500000,2021,8000,Diesel,Automatic,Bangalore,White,First,Individual,RWD,5.0,80.0,14069266.92,192.0,3800.0,400.0,1600.0
Toyota,1321000,2018,38000,Petrol,Automatic,Mumbai,Gold,First,Corporate,FWD,5.0,55.0,12095737.5,138.0,6400.0,173.0,4000.0
Maruti Suzuki,950000,2020,55055,Diesel,Manual,Ludhiana,White,First,Individual,FWD,5.0,48.0,12242422.5,89.0,4000.0,200.0,1750.0
Maruti Suzuki,825000,2021,22000,Petrol,Manual,Raipur,Blue,First,Individual,FWD,5.0,37.0,10456912.5,83.0,6000.0,115.0,4000.0
Mitsubishi,1300000,2013,95000,Diesel,Manual,Bangalore,Blue,Second,Individual,AWD,7.0,70.0,15679422.0,176.0,4000.0,400.0,2000.0
Maruti Suzuki,465000,2014,25704,Petrol,Manual,Mumbai,Red,First,Individual,FWD,5.0,42.0,9984397.5,85.0,6000.0,114.0,4000.0
Maruti Suzuki,475000,2016,55353,Diesel,Manual,Kanpur,Grey,Second,Individual,FWD,5.0,42.0,10529721.375,74.0,4000.0,190.0,2000.0
Audi,1775000,2015,80000,Diesel,Automatic,Chennai,Silver,First,Individual,AWD,5.0,64.0,12910527.48,174.0,4200.0,380.0,1750.0
Volkswagen,825000,2018,62000,Petrol,Automatic,Faridabad,Brown,First,Corporate,FWD,5.0,55.0,10941780.87,103.0,5000.0,175.0,1500.0
Ford,3450000,2019,41526,Diesel,Automatic,Coimbatore,Silver,First,Individual,AWD,7.0,80.0,16715083.44,197.0,3000.0,470.0,1750.0
Tata,379000,2018,29434,Petrol,Manual,Kolkata,Silver,Second,Individual,FWD,5.0,35.0,9470431.17,69.0,4000.0,140.0,1800.0
Datsun,240000,2017,42000,Petrol,Manual,Lucknow,White,First,Individual,FWD,5.0,35.0,9189885.375,67.0,5000.0,104.0,4000.0
Kia,1525000,2021,14000,Petrol,Manual,Delhi,Black,First,Individual,FWD,5.0,50.0,12776715.0,114.0,6300.0,144.0,4500.0
BMW,1400000,2014,35000,Diesel,Automatic,Kolkata,Brown,First,Individual,RWD,5.0,60.0,13420230.576,184.0,4000.0,380.0,1750.0
Mercedes-Benz,2450000,2018,61000,Diesel,Automatic,Mumbai,Gold,Second,Individual,FWD,5.0,50.0,11923458.624,134.0,3600.0,300.0,1600.0
Mercedes-Benz,1789999,2015,45000,Diesel,Automatic,Lucknow,White,First,Individual,FWD,5.0,50.0,11904592.392,134.0,3600.0,300.0,1600.0
Mercedes-Benz,4275000,2019,31000,Diesel,Automatic,Delhi,Blue,First,Individual,RWD,5.0,66.0,12230553.72,192.0,3800.0,400.0,1600.0
Hyundai,775000,2020,39000,Petrol,Manual,Mumbai,White,First,Individual,FWD,5.0,37.0,10672143.125,82.0,6000.0,115.0,4200.0
Maruti Suzuki,229999,2012,52000,Petrol,Manual,Pune,White,First,Individual,FWD,5.0,35.0,8584290.0,67.0,6200.0,90.0,3500.0
Hyundai,300000,2018,51000,Petrol,Manual,Kanpur,White,First,Individual,FWD,5.0,32.0,8125875.0,55.0,5500.0,75.0,4000.0
Maruti Suzuki,160000,2011,72000,Petrol,Manual,Kanpur,Silver,First,Individual,FWD,5.0,35.0,7791023.75,67.0,6000.0,90.0,3500.0
Mercedes-Benz,8300000,2020,50000,Diesel,Automatic,Navi Mumbai,White,First,Individual,AWD,5.0,93.0,18820532.496,241.0,4200.0,500.0,1600.0
Audi,1685000,2016,80251,Diesel,Automatic,Delhi,Blue,Second,Individual,AWD,5.0,64.0,12910527.48,174.0,4200.0,380.0,1750.0
Maruti Suzuki,210000,2014,42505,Petrol,Manual,Purnea,Red,First,Individual,FWD,5.0,35.0,7461361.25,47.0,6000.0,69.0,3500.0
Hyundai,625000,2017,42000,Petrol,Manual,Patna,Silver,First,Individual,FWD,5.0,45.0,10399534.95,82.0,6000.0,115.0,4000.0
BMW,6900000,2017,42200,Diesel,Automatic,Mumbai,Black,First,Individual,RWD,4.0,78.0,14701202.778,262.0,4000.0,620.0,2000.0
Kia,1490000,2019,57600,Petrol,Automatic,Chennai,White,First,Individual,FWD,5.0,50.0,12776715.0,138.0,6000.0,242.0,1500.0
Mahindra,1095000,2018,57000,Diesel,Manual,Lucknow,Black,First,Individual,FWD,7.0,70.0,15468185.25,153.0,3750.0,360.0,1750.0
Ford,850000,2014,85000,Diesel,Automatic,Zirakpur,Black,First,Individual,AWD,7.0,71.0,16520333.28,154.0,3200.0,380.0,2500.0
Hyundai,1600000,2016,128000,Diesel,Automatic,Pune,White,Second,Corporate,FWD,5.0,62.0,13742725.0,182.0,4000.0,400.0,1750.0
Toyota,265000,2011,66000,Petrol,Manual,Delhi,Black,First,Individual,FWD,5.0,45.0,10916054.25,80.0,5600.0,132.0,3000.0
Volkswagen,360000,2013,58000,Petrol,Manual,Chandigarh,Bronze,First,Individual,FWD,5.0,55.0,10919377.856,103.0,5250.0,153.0,3800.0
Toyota,1485000,2015,64120,Diesel,Manual,Delhi,White,Second,Individual,RWD,7.0,80.0,16015820.0,169.0,3600.0,343.0,1400.0
Maruti Suzuki,800000,2017,82300,Petrol,Manual,Pune,White,First,Individual,FWD,5.0,43.0,11535034.5,91.0,6000.0,130.0,4000.0
Maruti Suzuki,710000,2017,73000,Diesel,Manual,Lucknow,White,First,Individual,FWD,5.0,48.0,11727722.0,89.0,4000.0,200.0,1750.0
Maruti Suzuki,710000,2018,72000,Diesel,Manual,Lucknow,Blue,First,Individual,FWD,5.0,48.0,12067305.0,118.0,3750.0,320.0,1750.0
Volkswagen,720000,2018,50197,Petrol,Manual,Pune,Grey,First,Individual,FWD,5.0,45.0,9811777.118,75.0,6200.0,95.0,3000.0
Honda,395000,2014,44527,Petrol,Manual,Mumbai,Brown,First,Individual,FWD,5.0,35.0,10088316.0,87.0,6000.0,109.0,4500.0
Audi,2799000,2017,72400,Diesel,Automatic,Bangalore,White,First,Individual,FWD,5.0,54.0,12422451.684,188.0,4200.0,400.0,1750.0
Ford,455000,2014,50000,Petrol,Manual,Delhi,White,Second,Individual,FWD,5.0,52.0,12055465.38,109.0,6300.0,140.0,4400.0
Honda,690000,2014,37000,Petrol,Manual,Delhi,White,First,Individual,FWD,5.0,40.0,11251071.0,117.0,6600.0,145.0,4600.0
Mercedes-Benz,13000000,2021,20000,Diesel,Automatic,Delhi,Blue,First,Individual,AWD,7.0,90.0,20475022.677,326.0,3600.0,700.0,1200.0
Tata,1995000,2020,8000,Diesel,Automatic,Bhubaneswar,Black,First,Individual,FWD,5.0,50.0,14856892.072,168.0,3750.0,350.0,1750.0
BMW,1750000,2014,69000,Diesel,Automatic,Jalandhar,White,Second,Individual,RWD,5.0,65.0,15018452.784,190.0,4000.0,400.0,1750.0
BMW,2900000,2019,25000,Diesel,Automatic,Delhi,White,First,Individual,RWD,5.0,63.0,14065642.92,184.0,4000.0,350.0,1750.0
BMW,4500000,2022,17000,Diesel,Automatic,Mumbai,White,First,Individual,RWD,5.0,63.0,14065642.92,184.0,4000.0,350.0,1750.0
Honda,450000,2013,61000,Petrol,Manual,Delhi,Maroon,First,Individual,FWD,5.0,42.0,11175813.0,116.0,6600.0,146.0,4800.0
BMW,2149000,2015,69000,Diesel,Automatic,Delhi,Silver,First,Individual,RWD,5.0,65.0,13637042.592,188.0,4000.0,400.0,1750.0
Mercedes-Benz,4200000,2015,77000,Diesel,Automatic,Chennai,Black,Second,Individual,AWD,7.0,100.0,18318848.0,258.0,3600.0,619.0,1600.0
Tata,860000,2018,82200,Diesel,Manual,Pune,Grey,First,Individual,FWD,5.0,44.0,11623646.338,108.0,3750.0,260.0,1500.0
Honda,875000,2018,28000,Petrol,Manual,Delhi,Silver,First,Individual,FWD,5.0,40.0,11251071.0,117.0,6600.0,145.0,4600.0
MG,3500000,2021,7900,Diesel,Automatic,Hyderabad,Black,First,Individual,AWD,6.0,75.0,17925272.37,215.0,4000.0,480.0,1500.0
Audi,1513000,2015,79000,Diesel,Automatic,Ahmedabad,Blue,Second,Individual,AWD,5.0,64.0,12910527.48,174.0,4200.0,380.0,1750.0
Maruti Suzuki,234000,2013,72600,Petrol,Manual,Panchkula,White,First,Individual,FWD,5.0,35.0,7795670.0,67.0,6200.0,90.0,3500.0
Datsun,320000,2018,42313,Petrol,Automatic,Bangalore,Grey,Second,Individual,FWD,5.0,28.0,8243178.84,67.0,5500.0,91.0,4250.0
BMW,5975000,2021,18000,Diesel,Automatic,Delhi,White,First,Individual,AWD,5.0,67.0,14698972.926,190.0,4000.0,400.0,1750.0
Maruti Suzuki,1025000,2019,90000,Diesel,Manual,Hyderabad,White,First,Individual,FWD,5.0,48.0,11727722.0,89.0,4000.0,200.0,1750.0
Maruti Suzuki,630000,2017,36000,Diesel,Manual,Patna,Blue,First,Individual,FWD,5.0,37.0,10500957.375,74.0,4000.0,190.0,2000.0
Hyundai,1090000,2020,26200,Petrol,Automatic,Delhi,White,First,Individual,FWD,5.0,45.0,11349195.75,118.0,6000.0,172.0,1500.0
Maruti Suzuki,700000,2019,11000,Petrol,Manual,Chennai,Silver,Second,Individual,FWD,5.0,37.0,10193472.0,82.0,6000.0,113.0,4200.0
Maruti Suzuki,661000,2021,14366,Petrol,Manual,Ahmedabad,Others,First,Individual,FWD,5.0,37.0,10206744.75,89.0,6000.0,113.0,4400.0
Mahindra,565000,2017,65000,Diesel,Manual,Delhi,Red,Second,Individual,RWD,7.0,60.0,13481387.175,84.0,3750.0,230.0,1500.0
Toyota,750000,2014,126000,Diesel,Manual,Delhi,Silver,First,Individual,RWD,7.0,55.0,14202496.0,100.0,3600.0,200.0,1400.0
Audi,1850000,2015,71700,Diesel,Automatic,Navi Mumbai,White,Second,Individual,AWD,5.0,64.0,12910527.48,174.0,4200.0,380.0,1750.0
Mahindra,850000,2016,114000,Diesel,Manual,Lucknow,White,First,Individual,FWD,7.0,70.0,15468185.25,138.0,3750.0,330.0,1600.0
Hyundai,535000,2016,58339,Diesel,Manual,Panchkula,Grey,First,Individual,FWD,5.0,45.0,10399534.95,89.0,4000.0,220.0,1500.0
Maruti Suzuki,770000,2019,72040,Diesel,Automatic,Pune,Silver,First,Individual,FWD,5.0,37.0,10500957.375,74.0,4000.0,190.0,2000.0
BMW,3650000,2019,6000,Petrol,Automatic,Delhi,White,First,Individual,RWD,5.0,57.0,11989828.727,248.0,5200.0,350.0,1450.0
Kia,1195000,2022,6200,Petrol,Manual,Kolkata,Red,First,Individual,FWD,5.0,45.0,11777779.35,118.0,6000.0,172.0,1500.0
Mercedes-Benz,1650000,2012,44000,Petrol,Automatic,Mumbai,Silver,Third,Individual,RWD,5.0,90.0,16386018.48,368.0,6300.0,505.0,4400.0
Skoda,3199000,2021,6900,Petrol,Automatic,Kolkata,Brown,First,Individual,FWD,5.0,66.0,13437320.632,177.0,5100.0,250.0,1250.0
Mercedes-Benz,7100000,2022,2500,Petrol,Automatic,Noida,Grey,First,Individual,RWD,5.0,80.0,14069266.92,194.0,5800.0,300.0,1600.0
Volkswagen,625000,2016,68000,Petrol,Automatic,Delhi,White,First,Individual,FWD,5.0,45.0,9811777.118,103.0,5000.0,175.0,1500.0
Maruti Suzuki,745000,2018,36000,Diesel,Manual,Patna,White,First,Individual,FWD,5.0,48.0,11727722.0,89.0,4000.0,200.0,1750.0
Hyundai,551000,2021,19000,Petrol,Manual,Ahmedabad,White,First,Individual,FWD,5.0,35.0,9263982.0,68.0,5500.0,99.0,4500.0
Mercedes-Benz,5950000,2019,10000,Diesel,Automatic,Chennai,White,First,Individual,RWD,5.0,80.0,14069266.92,192.0,3800.0,400.0,1600.0
Land Rover,22000000,2019,35000,Diesel,Automatic,Pune,Blue,First,Individual,AWD,5.0,105.0,20364426.3,244.0,4000.0,600.0,2000.0
MINI,3300000,2019,6400,Diesel,Automatic,Delhi,Red,First,Individual,FWD,5.0,44.0,9330797.938,114.0,4000.0,270.0,1750.0
Ford,3250000,2019,34000,Diesel,Automatic,Chennai,White,First,Individual,AWD,7.0,80.0,16833729.759,197.0,3000.0,470.0,1750.0
Renault,690000,2016,35000,Diesel,Automatic,Delhi,Grey,Second,Individual,FWD,5.0,50.0,13325971.35,108.0,3900.0,248.0,2250.0
Maruti Suzuki,894999,2019,46000,Diesel,Automatic,Mumbai,White,First,Individual,FWD,5.0,48.0,11727722.0,89.0,4000.0,200.0,1750.0
Skoda,550000,2016,83000,Diesel,Manual,Chandigarh,White,First,Individual,FWD,5.0,55.0,10924359.324,105.0,4400.0,250.0,2500.0
Ford,399000,2013,54000,Diesel,Manual,Mumbai,Orange,Third,Individual,FWD,5.0,52.0,12055465.38,89.0,3750.0,204.0,2000.0
Kia,1275000,2020,42000,Petrol,Manual,Ahmedabad,Black,First,Individual,FWD,5.0,50.0,12776715.0,113.0,6300.0,144.0,4500.0
Maruti Suzuki,535000,2020,41441,Petrol,Manual,Bangalore,Silver,First,Individual,RWD,5.0,40.0,9757125.0,73.0,6000.0,101.0,3000.0
Maruti Suzuki,825000,2018,48174,Diesel,Manual,Thane,White,First,Individual,FWD,5.0,48.0,11727722.0,89.0,4000.0,200.0,1750.0
Ford,585000,2016,62591,Diesel,Manual,Mumbai,Silver,First,Individual,FWD,5.0,52.0,11622006.09,99.0,3750.0,205.0,1750.0
Honda,675000,2017,48650,Petrol,Automatic,Mumbai,Brown,First,Individual,FWD,5.0,40.0,10344444.88,89.0,6000.0,110.0,4800.0
Maruti Suzuki,795000,2017,52245,Diesel,Manual,Pune,Brown,First,Individual,FWD,5.0,48.0,12242422.5,89.0,4000.0,200.0,1750.0
Mercedes-Benz,6500000,2021,7500,Petrol,Automatic,Delhi,Black,First,Individual,RWD,5.0,80.0,14069266.92,194.0,5800.0,300.0,1600.0
Hyundai,611000,2017,65000,Diesel,Manual,Kheda,White,First,Individual,FWD,5.0,45.0,10399534.95,89.0,4000.0,220.0,1500.0
Maruti Suzuki,390000,2015,43297,Petrol,Manual,Kollam,Red,First,Individual,FWD,5.0,35.0,9146858.5,67.0,6200.0,90.0,3500.0
Maruti Suzuki,650000,2019,44710,Petrol,Manual,Pune,White,First,Individual,FWD,5.0,42.0,9984397.5,83.0,6000.0,115.0,4000.0
Renault,390000,2013,62000,Diesel,Manual,Lucknow,Silver,First,Individual,FWD,5.0,67.0,12458181.792,108.0,4000.0,240.0,1850.0
Audi,2400000,2017,59267,Diesel,Automatic,Kolkata,Silver,First,Individual,FWD,5.0,54.0,12422451.684,188.0,4200.0,400.0,1750.0
Maruti Suzuki,385000,2011,69000,Petrol,Manual,Hyderabad,Silver,First,Individual,FWD,5.0,42.0,9984397.5,85.0,6000.0,114.0,4000.0
Maruti Suzuki,450000,2017,75000,Petrol,Manual,Kanpur,White,First,Commercial Registration,FWD,5.0,42.0,10529721.375,83.0,6000.0,115.0,4000.0
Hyundai,649000,2020,52236,Petrol,Manual,Udupi,Silver,First,Individual,FWD,5.0,43.0,9499848.0,81.0,6000.0,114.0,4000.0
Audi,2900000,2019,15530,Diesel,Automatic,Goa,White,First,Individual,FWD,5.0,50.0,11332214.016,141.0,3500.0,320.0,1750.0
Maruti Suzuki,400000,2014,64000,Diesel,Manual,Agra,White,First,Individual,FWD,5.0,42.0,10529721.375,74.0,4000.0,190.0,2000.0
Hyundai,599000,2020,35000,Petrol,Automatic,Kolkata,Silver,First,Individual,FWD,5.0,37.0,9716448.0,82.0,6000.0,114.0,4000.0
Toyota,2980000,2019,92000,Diesel,Manual,Lucknow,Black,First,Individual,RWD,7.0,80.0,16321820.375,174.0,3400.0,420.0,1600.0
Audi,3500000,2018,18000,Petrol,Automatic,Mumbai,White,First,Individual,FWD,5.0,54.0,12422451.684,148.0,5000.0,250.0,1500.0
Honda,400000,2016,50000,Petrol,Manual,Kolkata,Red,First,Individual,FWD,5.0,40.0,10344444.88,89.0,6000.0,110.0,4800.0
Mercedes-Benz,6975000,2022,2000,Petrol,Automatic,Karnal,White,First,Individual,RWD,5.0,66.0,14473151.28,194.0,5500.0,320.0,1650.0
Mercedes-Benz,5400000,2016,16000,Diesel,Automatic,Karnal,White,First,Individual,AWD,5.0,93.0,18530192.284,201.0,3800.0,500.0,1600.0
Mercedes-Benz,3700000,2015,103890,Diesel,Automatic,Lucknow,Black,Second,Individual,AWD,7.0,100.0,18318848.0,258.0,3600.0,619.0,1600.0
Maruti Suzuki,445000,2018,71000,Petrol,Manual,Ludhiana,White,First,Individual,FWD,5.0,35.0,8985600.0,67.0,6000.0,90.0,3500.0
Mahindra,1475000,2021,12000,Diesel,Manual,Ludhiana,Red,First,Individual,AWD,4.0,57.0,13373978.8,130.0,3750.0,300.0,1600.0
Toyota,2800000,2016,93000,Diesel,Automatic,Mohali,White,First,Individual,RWD,7.0,80.0,16321820.375,174.0,3400.0,450.0,1600.0
Maruti Suzuki,600000,2020,10000,Petrol,Manual,Meerut,White,First,Individual,FWD,5.0,42.0,9984397.5,83.0,6000.0,115.0,4000.0
Kia,1835000,2020,33828,Diesel,Automatic,Mumbai,White,First,Individual,FWD,5.0,50.0,12776715.0,114.0,4000.0,250.0,1500.0
Maruti Suzuki,550000,2019,48000,CNG,Manual,Mumbai,Silver,First,Individual,FWD,5.0,60.0,9917842.5,58.0,5500.0,78.0,3500.0
Maruti Suzuki,715000,2017,71000,Diesel,Manual,Delhi,Red,First,Individual,FWD,5.0,48.0,11727722.0,89.0,4000.0,200.0,1750.0
Mahindra,2540000,2022,18000,Diesel,Automatic,Delhi,White,First,Individual,FWD,7.0,60.0,15573080.25,182.0,3500.0,450.0,1750.0
Maruti Suzuki,525000,2019,50000,CNG,Manual,Delhi,Grey,First,Individual,FWD,5.0,60.0,9917842.5,58.0,5500.0,78.0,3500.0
Hyundai,425000,2015,48000,Petrol,Manual,Delhi,Silver,First,Individual,FWD,5.0,43.0,9499848.0,81.0,6000.0,114.0,4000.0
Hyundai,795000,2022,4000,Petrol,Automatic,Kanpur,White,First,Individual,FWD,5.0,37.0,10672143.125,87.0,6000.0,115.0,1500.0
Hyundai,565000,2014,68000,Diesel,Manual,Lucknow,White,First,Individual,FWD,5.0,43.0,10957775.0,128.0,4000.0,260.0,1900.0
BMW,2550000,2015,70000,Diesel,Automatic,Coimbatore,Blue,Second,Individual,RWD,5.0,65.0,15018452.784,190.0,4000.0,400.0,1750.0
Hyundai,529000,2015,57654,Petrol,Manual,Zirakpur,White,First,Individual,FWD,5.0,45.0,10933516.0,82.0,6000.0,115.0,4000.0
Maruti Suzuki,400000,2019,22000,Petrol,Manual,Ludhiana,White,First,Individual,FWD,5.0,35.0,7791023.75,67.0,6000.0,90.0,3500.0
Maruti Suzuki,975000,2019,41792,Petrol,Manual,Pune,Blue,First,Individual,FWD,6.0,45.0,13412787.5,103.0,6000.0,138.0,4400.0
BMW,2600000,2017,41000,Diesel,Automatic,Hyderabad,Blue,First,Individual,FWD,5.0,51.0,13030471.428,188.0,4000.0,400.0,1750.0
Mercedes-Benz,2390000,2013,107021,Diesel,Automatic,Delhi,White,Second,Individual,AWD,7.0,100.0,18318848.0,258.0,3600.0,619.0,1600.0
Kia,1550000,2019,17000,Petrol,Manual,Bangalore,White,First,Individual,FWD,5.0,50.0,12776715.0,138.0,6000.0,242.0,1500.0
Maruti Suzuki,430000,2019,57993,Petrol,Automatic,Hyderabad,White,First,Individual,FWD,5.0,35.0,7791023.75,67.0,6000.0,90.0,3500.0
Maruti Suzuki,600000,2018,32000,Petrol,Manual,Mohali,Silver,First,Individual,FWD,5.0,37.0,10456912.5,83.0,6000.0,115.0,4000.0
Toyota,1650000,2018,25914,Petrol,Automatic,Pune,Brown,First,Corporate,FWD,5.0,55.0,12095737.5,138.0,6400.0,173.0,4000.0
Audi,9400000,2022,4500,Petrol,Automatic,Delhi,Black,First,Individual,AWD,7.0,85.0,16989264.24,335.0,5200.0,500.0,1370.0
Maruti Suzuki,250000,2014,114000,Petrol,Manual,Aurangabad,White,Second,Individual,FWD,5.0,35.0,7795670.0,67.0,6200.0,90.0,3500.0
